"(-1.6721657923569233, 53.788790662040974)"
"(-1.6651580712130873, 53.78888912027228)"
"(-1.6647659136090993, 53.7883311902949)"
"(-1.6610091863854295, 53.788395566830744)"
"(-1.672420801946402, 53.789916633646115)"
"(-1.6725943799022656, 53.78991284679107)"
"(-1.6617957232255052, 53.79006937013314)"
"(-1.6588490264625322, 53.78984468340016)"
"(-1.6617142915918903, 53.7912647674142)"
"(-1.661767865035058, 53.79116883375293)"
"(-1.6617571503464243, 53.79111455549721)"
"(-1.6617507215332443, 53.79106406409654)"
"(-1.6581418570127175, 53.79153868326282)"
"(-1.6683919216314398, 53.79279845707973)"
"(-1.6687262199168067, 53.79268358914321)"
"(-1.6619950164340893, 53.79266213029793)"
"(-1.6711199600519155, 53.79416552512306)"
"(-1.6690476605758133, 53.79412513200253)"
"(-1.660977042319529, 53.793454858658656)"
"(-1.6690219453230928, 53.794897663802985)"
"(-1.665886748734542, 53.79527508702298)"
"(-1.658604731561687, 53.79503777743984)"
"(-1.6658888916722687, 53.7958178829504)"
"(-1.6639044526429616, 53.79597819314752)"
"(-1.6622093102067605, 53.797524505663226)"
"(-1.6588404547116253, 53.79721650811915)"
"(-1.545461705763003, 53.839069271350986)"
"(-1.5419085576233706, 53.838772634372056)"
"(-1.5462331633446187, 53.840534797625615)"
"(-1.5442380096266781, 53.840347979443145)"
"(-1.5448594615674243, 53.839965507083086)"
"(-1.5428343067213097, 53.84044012624936)"
"(-1.5326399584834818, 53.8404047822689)"
"(-1.5461217305828299, 53.8419662422048)"
"(-1.5377060993525449, 53.8413994762323)"
"(-1.5377896739238865, 53.84139064023718)"
"(-1.534883692977721, 53.84186652168848)"
"(-1.5348815500399942, 53.84184001370313)"
"(-1.5335957874039678, 53.84154085215417)"
"(-1.5440515740444543, 53.842782953980844)"
"(-1.5360366721690641, 53.842982395013486)"
"(-1.5370652822778854, 53.84297103444833)"
"(-1.534290099227422, 53.84241941589603)"
"(-1.5340308037624901, 53.842342416510014)"
"(-1.5341786664656332, 53.842342416510014)"
"(-1.5343458156083165, 53.84233862965496)"
"(-1.5342643839747014, 53.84233989193998)"
"(-1.545429561697102, 53.84385338504525)"
"(-1.5440001435390132, 53.84420303799488)"
"(-1.5438029932681558, 53.84415128430919)"
"(-1.5415742593380037, 53.84447947841354)"
"(-1.5339750873815956, 53.84360850175201)"
"(-1.534112235396105, 53.84359840347187)"
"(-1.543438693854615, 53.8455019426473)"
"(-1.5436851316931868, 53.84537066500557)"
